,UUID,SRC HOSTNAME,DST HOSTNAME,THROUGHPUT (mean),LATENCY (mean),RETRANSMITS (mean),BYTES (mean)
1099,82e70519-63f4-4f14-9e0b-017e5589093c,localhost,star-pt1.es.net,9616645332.37796,9807.283333333333,3443,1202084433.0666666
1100,7d864443-2701-473b-95f5-77a613ae91d1,localhost,star-pt1.es.net,9666736971.395216,9902.058333333332,3621,1208354043.7333333
1101,f883c671-9e8e-4b43-bc94-2045130a53e3,localhost,star-pt1.es.net,9638255368.68398,9949.533333333333,3437,1204792061.3333333
1102,2bb1b495-c325-4e6c-a877-f9ee2edd862f,localhost,eqx-ash-pt1.es.net,9888425576.96135,8698.858333333334,384,1236062797.1333334
1103,0c0ba18c-a9fb-4d68-b6c4-1685247ad063,localhost,eqx-ash-pt1.es.net,9890501067.72992,8737.375,882,1236316589.6666667
1104,bd2d0ec6-cf54-4e00-9b1a-397432752732,localhost,eqx-ash-pt1.es.net,9889544409.66583,8697.991666666667,762,1236202817.1333334
1105,6f24e901-5734-4cb4-a249-2d24c757acbb,localhost,eqx-ash-pt1.es.net,9887790307.476095,8622.733333333334,21,1235975415.8
1106,ed98c63c-0312-4bf7-b4bd-bed7e45923ba,localhost,star-pt1.es.net,9868581492.69956,12816.925,3415,1233573323.9333334
1107,eb5c8e16-09e7-48ae-b379-70710d4c1b06,localhost,star-pt1.es.net,9866778808.38799,12824.458333333334,3391,1233352860.0
1108,d5318175-fae3-42c2-a860-61cd1ba7eb7d,localhost,star-pt1.es.net,9869972684.333235,12782.2,3399,1233748086.6
1109,46309b5c-15ec-43f5-a6ad-7f6f48d3eb67,localhost,star-pt1.es.net,9870319997.28801,12880.483333333334,4001,1233795058.2
1110,d4aef553-9871-417b-af06-5e1ba25bd996,localhost,star-pt1.es.net,9829102576.50896,12631.0,3437,1228639112.1333334
1111,39985313-467d-4332-a24c-ae5b26c5429b,localhost,kans-pt1.es.net,8961162643.188816,18974.6,1822,1120154590.2666667
1112,942c7d03-927b-40cb-b213-ed7d7af6fb8e,localhost,kans-pt1.es.net,9737963707.038,20054.533333333333,2145,1217259035.6666667
1113,c742170f-72bf-4760-8804-3ac39250249f,localhost,kans-pt1.es.net,9698546996.476656,19502.575,1765,1212320051.6
1114,8d1c00a0-e384-4fa9-8265-dcf440e56235,localhost,kans-pt1.es.net,9763505298.027815,19708.783333333333,1904,1220447112.1333334
1115,624f1ef8-430c-4ff2-9a81-8218ecfedf2b,localhost,kans-pt1.es.net,9769503797.48768,19909.666666666668,1919,1221189256.9333334
1116,cf481671-2c18-444d-b432-44eebaf97128,localhost,denv-pt1.es.net,9790096307.34661,26904.266666666666,1346,1223768646.7333333
1117,ba7bad07-a950-41f0-9a0f-d3a6d61b4189,localhost,denv-pt1.es.net,9791660012.94458,26913.483333333334,1153,1223965702.1333334
1118,9f84d225-49ca-4574-95e7-d49da89cbe75,localhost,denv-pt1.es.net,9223370984.73651,25869.108333333334,1148,1152924678.1333334
1119,39f33478-ce78-417f-877b-d2ec004ecf9a,localhost,denv-pt1.es.net,9819112808.443733,27053.483333333334,2778,1227394972.0666666
1120,07abc801-36f9-41e5-8b4a-63244c6507f5,localhost,denv-pt1.es.net,9250650533.706097,25874.216666666667,1159,1156332550.1333334
1121,183c785b-635f-426c-a52a-e7bbdc7c6030,localhost,sacr-pt1.es.net,7968746263.62538,33411.3,0,996094494.8666667
