,UUID,HOSTNAME,ALIAS,TIMESTAMP,STREAMS,THROUGHPUT (Sender),THROUGHPUT (Receiver),LATENCY (min.),LATENCY (max.),LATENCY (mean),RETRANSMITS,CONGESTION (Sender),CONGESTION (Receiver),BYTES (Receiver)
94,a02a6a11-bdee-4989-8656-a105ff4a1694,10.201.1.2,hostA,2021-06-28T20:55:14.856Z,4,2324733068.88074,2311363564.88778,31580.5,31715.5,31650.0,0,cubic,cubic,17353576652
95,1b9aaabc-33d8-42e8-af97-5e062aa42d87,10.201.1.2,hostA,2021-06-28T20:56:28.143Z,4,2319651664.99778,2306629587.2815957,31627.5,31791.5,31694.0,0,cubic,cubic,17317924672
96,12b6f72b-00f7-4b38-818d-b50bbf11a899,10.201.1.2,hostA,2021-06-28T20:57:41.430Z,4,2799376458.2526674,2783430160.330856,31725.5,31912.0,31816.0,0,cubic,cubic,20898031568
97,6b59fde1-8296-4a84-bb7e-3129576e88c9,10.201.1.2,hostA,2021-06-28T20:58:54.720Z,4,2410554952.600362,2397447344.9817967,31576.5,31793.0,31685.0,0,cubic,cubic,17999863848
98,d2659e3d-582d-4a65-b384-381abb4453de,10.201.1.2,hostB,2021-06-28T21:00:09.995Z,4,259618217.0838824,250911985.60276765,50140.0,51399.5,50322.5,18,cubic,cubic,1884990092
99,d12bbf9c-5fdb-4c5d-9dbf-009def72ad19,10.201.1.2,hostB,2021-06-28T21:01:23.794Z,4,348348151.1706136,331594204.66564167,50133.5,51319.5,50278.0,24,cubic,cubic,2491118664
100,ad635bac-3142-4439-9064-ef7667fff154,10.201.1.2,hostB,2021-06-28T21:02:37.572Z,4,342621958.12193924,317199619.3110064,50122.5,52346.5,50370.0,23,cubic,cubic,2382982084
101,55860fff-a9de-4ef0-88b2-42696399b05d,10.201.1.2,hostB,2021-06-28T21:03:51.357Z,4,227113065.8341701,223406797.671848,50141.0,50549.0,50279.5,19,cubic,cubic,1678353928
102,7301a6f7-c380-44a5-8f50-a2ac20614590,10.201.1.2,hostB,2021-06-28T21:05:05.153Z,4,299114570.7357819,283327267.8596595,50131.5,50922.0,50399.0,26,cubic,cubic,2128509912
103,8e93740b-09bc-4cfc-a32d-87c8970f24de,10.201.1.2,hostB,2021-06-28T21:06:18.932Z,4,286507092.5111696,271241315.62612426,50132.5,51010.5,50319.0,22,cubic,cubic,2037714556
104,06c2a8c5-087d-485f-b8dd-579227818655,10.201.1.2,hostC,2021-06-28T21:07:33.389Z,4,990849813.282665,987209178.3624144,21393.5,21514.0,21463.0,0,cubic,cubic,7409046840
105,646f81fa-3455-458b-a06d-51233cf6fa29,10.201.1.2,hostC,2021-06-28T21:08:46.377Z,4,1980478020.1961575,1973456627.0472848,21449.5,21524.0,21487.0,0,cubic,cubic,14810930868
106,40354a80-32da-4dab-b5b5-c8f8eb05044f,10.201.1.2,hostC,2021-06-28T21:09:59.370Z,4,2416345641.17371,2407296972.87166,21559.0,21682.5,21607.5,0,cubic,cubic,18067689688
107,f059a29e-e9aa-4df4-8e98-a2605083018d,10.201.1.2,hostC,2021-06-28T21:11:12.352Z,4,2625491512.2305818,2615481256.365798,21579.0,21749.0,21665.0,0,cubic,cubic,19630341564
108,204edb63-eca7-4581-ab82-1da7e87317d8,10.201.1.2,hostC,2021-06-28T21:12:25.338Z,4,2617988278.480342,2608051605.204728,21583.5,21794.0,21674.5,0,cubic,cubic,19574586576
109,1e7dc443-5644-4f9c-9083-6ef9458e20bf,10.201.1.2,hostC,2021-06-28T21:13:38.327Z,4,1548042346.8165562,1541984324.8252068,21609.5,21810.5,21700.0,0,cubic,cubic,11573213392
110,238dd798-d0bc-45d2-bf57-376b001779b4,10.201.1.2,hostA,2021-06-28T21:14:52.837Z,1,972859655.3920974,961948966.151798,30154.0,30937.5,30598.0,0,bbr2,bbr2,7221881524
111,0ca152b5-321c-4695-bd5a-9dc4236c0adb,10.201.1.2,hostA,2021-06-28T21:16:05.895Z,1,1944711717.6104972,1923329645.8625827,30149.0,30814.5,30491.0,0,bbr2,bbr2,14439517284
112,15a1273a-9ce7-408a-a670-064b82235ec2,10.201.1.2,hostA,2021-06-28T21:17:18.951Z,1,2910292519.66689,2877917264.579139,30164.5,31630.5,30675.0,0,bbr2,bbr2,21606140496
113,984ba6c6-873e-4b68-a840-9bd2c51ce09e,10.201.1.2,hostA,2021-06-28T21:18:32.010Z,1,3877595240.245236,3834059458.986694,30195.0,31712.5,30810.5,0,bbr2,bbr2,28784485588
114,8a904702-4526-461e-a30a-eb5b8b7d7615,10.201.1.2,hostA,2021-06-28T21:19:45.076Z,1,4834769151.528295,4788238902.599738,30498.0,31975.5,31088.5,0,bbr2,bbr2,35948129116
115,cd6e9099-da3e-4fd3-834a-6fd44f46bd4a,10.201.1.2,hostA,2021-06-28T21:20:58.120Z,1,5792635242.09495,5745970744.046428,30191.5,31854.5,30997.5,0,bbr2,bbr2,43138205036
116,26be750b-2951-40d4-a666-cef9040eda3f,10.201.1.2,hostB,2021-06-28T21:22:13.042Z,1,968490432.771887,951990119.2238833,50130.0,51480.5,50666.5,81,bbr2,bbr2,7151890268
117,5df16c88-62be-4782-ba04-cbcc2b3a32d7,10.201.1.2,hostB,2021-06-28T21:23:26.501Z,1,1930217245.056663,1894586950.448571,50135.0,52312.5,50752.5,159,bbr2,bbr2,14233185352
118,4634d678-32a5-4791-a64c-ddc8758173b2,10.201.1.2,hostB,2021-06-28T21:24:39.970Z,1,2845600861.4774585,2803779592.598587,50129.5,52254.5,50856.5,247,bbr2,bbr2,21063596412
